title,title_link,likes,pub_points,popularity,description,latest_version,latest_version_release_date,provided_license,is_beta_version,sdk,platform,documentation_link,verified_publisher,dependencies,github_link
animations,https://pub.dev/packages/animations,6032,160,100,Fancy pre-built animations that can easily be integrated into any Flutter application.,2.0.11,"Jan 4, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/animations/latest/,flutter.dev,flutter,https://github.com/flutter/packages/tree/main/packages/animations
cached_network_image,https://pub.dev/packages/cached_network_image,6028,160,100,Flutter library to load and cache network images. Can also be used with placeholder and error widgets.,3.3.1,"Dec 31, 2023",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/cached_network_image/latest/,baseflow.com,"cached_network_image_platform_interface,cached_network_image_web,flutter,flutter_cache_manager,octo_image",https://github.com/Baseflow/flutter_cached_network_image
fl_chart,https://pub.dev/packages/fl_chart,5884,160,100,"A highly customizable Flutter chart library that supports Line Chart, Bar Chart, Pie Chart, Scatter Chart, and Radar Chart.",0.68.0,"May 9, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS","https://github.com/imaNNeo/fl_chart,https://pub.dev/documentation/fl_chart/latest/",flchart.dev,"equatable,flutter",https://github.com/imaNNeo/fl_chart
hive,https://pub.dev/packages/hive,5775,120,100,Lightweight and blazing fast key-value database written in pure Dart. Strongly encrypted using AES-256.,2.2.3,"Jun 30, 2022",unknown,4.0.0-dev.2,"DART, FLUTTER","ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS","https://docs.hivedb.dev/,https://pub.dev/documentation/hive/latest/",isar.dev,"crypto,meta",https://github.com/hivedb/hive
google_fonts,https://pub.dev/packages/google_fonts,5754,150,100,"A Flutter package to use fonts from fonts.google.com. Supports HTTP fetching, caching, and asset bundling.",6.2.1,"Mar 4, 2024",Apache-2.0,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/google_fonts/latest/,material.io,"crypto,flutter,http,path_provider",https://github.com/material-foundation/flutter-packages/tree/main/packages/google_fonts
flutter_slidable,https://pub.dev/packages/flutter_slidable,5359,150,100,A Flutter implementation of slidable list item with directional slide actions that can be dismissed.,3.1.1,"Jul 11, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/flutter_slidable/latest/,romainrastel.com,flutter,https://github.com/letsar/flutter_slidable
geolocator,https://pub.dev/packages/geolocator,5359,160,100,"Geolocation plugin for Flutter. This plugin provides a cross-platform (iOS, Android) API for generic location (GPS etc.) functions.",12.0.0,"May 16, 2024",MIT,,FLUTTER,"ANDROID, IOS, MACOS, WEB, WINDOWS",https://pub.dev/documentation/geolocator/latest/,baseflow.com,"flutter,geolocator_android,geolocator_apple,geolocator_platform_interface,geolocator_web,geolocator_windows",https://github.com/baseflow/flutter-geolocator/tree/main/geolocator
carousel_slider,https://pub.dev/packages/carousel_slider,5331,140,100,"A carousel slider widget, support infinite scroll and custom child widget.",4.2.1,"Dec 13, 2022",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/carousel_slider/latest/,serenader.me,flutter,https://github.com/serenader2014/flutter_carousel_slider
intl,https://pub.dev/packages/intl,5310,140,100,"Contains code to deal with internationalized/localized messages, date and number formatting and parsing, bi-directional text, and other internationalization issues.",0.19.0,"Dec 7, 2023",BSD-3-Clause,,"DART, FLUTTER","ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/intl/latest/,dart.dev,"clock,meta,path",https://github.com/dart-lang/i18n/tree/main/pkgs/intl
permission_handler,https://pub.dev/packages/permission_handler,5160,160,100,"Permission plugin for Flutter. This plugin provides a cross-platform (iOS, Android) API to request and check permissions.",11.3.1,"Mar 27, 2024",MIT,,FLUTTER,"ANDROID, IOS, WEB, WINDOWS",https://pub.dev/documentation/permission_handler/latest/,baseflow.com,"flutter,meta,permission_handler_android,permission_handler_apple,permission_handler_html,permission_handler_platform_interface,permission_handler_windows",https://github.com/baseflow/flutter-permission-handler
flutter_svg,https://pub.dev/packages/flutter_svg,5084,150,100,"An SVG rendering and widget library for Flutter, which allows painting and displaying Scalable Vector Graphics 1.1 files.",2.0.10+1,"Feb 20, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/flutter_svg/latest/,dnfield.dev,"flutter,http,vector_graphics,vector_graphics_codec,vector_graphics_compiler",https://github.com/dnfield/flutter_svg/tree/master/packages/flutter_svg
animated_text_kit,https://pub.dev/packages/animated_text_kit,4972,150,99,A flutter package project which contains a collection of cool and beautiful text animations.,4.2.2,"Jun 5, 2022",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/animated_text_kit/latest/,ayushagarwal.ml,"characters,flutter",https://github.com/aagarwal1012/Animated-Text-Kit/
sqflite,https://pub.dev/packages/sqflite,4850,160,100,"Flutter plugin for SQLite, a self-contained, high-reliability, embedded, SQL database engine.",2.3.3+1,"May 2, 2024",BSD-2-Clause,,FLUTTER,"ANDROID, IOS, MACOS",https://pub.dev/documentation/sqflite/latest/,tekartik.com,"flutter,path,sqflite_common",https://github.com/tekartik/sqflite/tree/master/sqflite
path_provider,https://pub.dev/packages/path_provider,4837,160,100,"Flutter plugin for getting commonly used locations on host platform file systems, such as the temp and app data directories.",2.1.4,"Jul 30, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WINDOWS",https://pub.dev/documentation/path_provider/latest/,flutter.dev,"flutter,path_provider_android,path_provider_foundation,path_provider_linux,path_provider_platform_interface,path_provider_windows",https://github.com/flutter/packages/tree/main/packages/path_provider/path_provider
shimmer,https://pub.dev/packages/shimmer,4767,160,100,A package provides an easy way to add shimmer effect in Flutter project,3.0.0,"May 21, 2023",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/shimmer/latest/,hunghd.dev,flutter,https://github.com/hnvn/flutter_shimmer
go_router,https://pub.dev/packages/go_router,4583,160,100,"A declarative router for Flutter based on Navigation 2 supporting deep linking, data-driven routes and more",14.2.1,"Jul 11, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/go_router/latest/,flutter.dev,"collection,flutter,flutter_web_plugins,logging,meta",https://github.com/flutter/packages/tree/main/packages/go_router
auto_size_text,https://pub.dev/packages/auto_size_text,4577,150,100,Flutter widget that automatically resizes text to fit perfectly within its bounds.,3.0.0,"Oct 27, 2021",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/auto_size_text/latest/,simc.dev,flutter,https://github.com/leisim/auto_size_text
font_awesome_flutter,https://pub.dev/packages/font_awesome_flutter,4428,160,100,The Font Awesome Icon pack available as Flutter Icons. Provides 2000 additional icons to use in your apps.,10.7.0,"Jan 27, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/font_awesome_flutter/latest/,fluttercommunity.dev,flutter,https://github.com/fluttercommunity/font_awesome_flutter
flutter_screenutil,https://pub.dev/packages/flutter_screenutil,4364,150,100,A flutter plugin for adapting screen and font size.Guaranteed to look good on different models,5.9.3,"May 31, 2024",Apache-2.0,6.0.0-alpha.1,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/flutter_screenutil/latest/,unverified uploader,flutter,https://github.com/OpenFlutter/flutter_screenutil
animate_do,https://pub.dev/packages/animate_do,4311,160,99,"Beautiful animations inspired on Animate.css, every animation is a customizable widget.",3.3.4,"Feb 29, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/animate_do/latest/,fernando-herrera.com,flutter,https://github.com/Klerith/animate_do_package
file_picker,https://pub.dev/packages/file_picker,4217,160,100,"A package that allows you to use a native file explorer to pick single or multiple absolute file paths, with extension filtering support.",8.0.6,"Jul 1, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/file_picker/latest/,miguelruivo.com,"cross_file,ffi,flutter,flutter_plugin_android_lifecycle,flutter_web_plugins,path,plugin_platform_interface,web,win32",https://github.com/miguelpruivo/flutter_file_picker
flutter_staggered_grid_view,https://pub.dev/packages/flutter_staggered_grid_view,4177,150,100,"Provides a collection of Flutter grids layouts (staggered, masonry, quilted, woven, etc.).",0.7.0,"Jul 30, 2023",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/flutter_staggered_grid_view/latest/,romainrastel.com,flutter,https://github.com/letsar/flutter_staggered_grid_view
flutter_spinkit,https://pub.dev/packages/flutter_spinkit,4125,140,100,A collection of loading indicators animated with flutter. Heavily inspired by @tobiasahlin's SpinKit.,5.2.1,"Mar 25, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/flutter_spinkit/latest/,ogbomo.com,flutter,https://github.com/jogboms/flutter_spinkit
google_maps_flutter,https://pub.dev/packages/google_maps_flutter,4110,160,100,A Flutter plugin for integrating Google Maps in iOS and Android applications.,2.7.0,"Jun 5, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, WEB",https://pub.dev/documentation/google_maps_flutter/latest/,flutter.dev,"flutter,google_maps_flutter_android,google_maps_flutter_ios,google_maps_flutter_platform_interface,google_maps_flutter_web",https://github.com/flutter/packages/tree/main/packages/google_maps_flutter/google_maps_flutter
get_it,https://pub.dev/packages/get_it,4072,160,100,"Simple direct Service Locator that allows to decouple the interface from a concrete implementation and to access the concrete implementation from everywhere in your App""",7.7.0,"Apr 15, 2024",MIT,8.0.0-pre-5,"DART, FLUTTER","ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/get_it/latest/,fluttercommunity.dev,"async,collection,meta",https://github.com/fluttercommunity/get_it
webview_flutter,https://pub.dev/packages/webview_flutter,3971,160,100,A Flutter plugin that provides a WebView widget on Android and iOS.,4.8.0,"May 24, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS",https://pub.dev/documentation/webview_flutter/latest/,flutter.dev,"flutter,webview_flutter_android,webview_flutter_platform_interface,webview_flutter_wkwebview",https://github.com/flutter/packages/tree/main/packages/webview_flutter/webview_flutter
firebase_auth,https://pub.dev/packages/firebase_auth,3836,150,100,"Flutter plugin for Firebase Auth, enabling authentication using passwords, phone numbers and identity providers like Google, Facebook and Twitter.",5.1.3,"Jul 30, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, MACOS, WEB, WINDOWS",https://pub.dev/documentation/firebase_auth/latest/,firebase.google.com,"firebase_auth_platform_interface,firebase_auth_web,firebase_core,firebase_core_platform_interface,flutter,meta",https://github.com/firebase/flutterfire/tree/master/packages/firebase_auth/firebase_auth
lottie,https://pub.dev/packages/lottie,3817,160,100,Render After Effects animations natively on Flutter. This package is a pure Dart implementation of a Lottie player.,3.1.2,"May 17, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WINDOWS",https://pub.dev/documentation/lottie/latest/,xaha.dev,"archive,flutter,http,path,vector_math",https://github.com/xvrh/lottie-flutter
freezed,https://pub.dev/packages/freezed,3797,160,99,Code generation for immutable classes that has a simple syntax/API without compromising on the features.,2.5.7,"Jul 15, 2024",MIT,3.0.0-0.0.dev,DART,"LINUX, MACOS, WINDOWS",https://pub.dev/documentation/freezed/latest/,dash-overflow.net,"analyzer,build,build_config,collection,dart_style,freezed_annotation,json_annotation,meta,source_gen",https://github.com/rrousselGit/freezed
device_preview,https://pub.dev/packages/device_preview,3727,140,99,Approximate how your Flutter app looks and performs on another device.,1.2.0,"May 27, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/device_preview/latest/,aloisdeniel.com,"collection,device_frame,flutter,flutter_localizations,freezed_annotation,json_annotation,provider,shared_preferences",https://github.com/aloisdeniel/flutter_device_preview
flutter_secure_storage,https://pub.dev/packages/flutter_secure_storage,3675,160,100,"Flutter Secure Storage provides API to store data in secure storage. Keychain is used in iOS, KeyStore based solution is used in Android.",9.2.2,"May 22, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/flutter_secure_storage/latest/,steenbakker.dev,"flutter,flutter_secure_storage_linux,flutter_secure_storage_macos,flutter_secure_storage_platform_interface,flutter_secure_storage_web,flutter_secure_storage_windows,meta",https://github.com/mogol/flutter_secure_storage/tree/develop/flutter_secure_storage
fluttertoast,https://pub.dev/packages/fluttertoast,3672,150,100,"Toast Library for Flutter, Easily create toast messages in single line of code",8.2.6,"Jun 3, 2024",MIT,,FLUTTER,"ANDROID, IOS, WEB",https://pub.dev/documentation/fluttertoast/latest/,karthikponnam.dev,"flutter,flutter_web_plugins,web",https://github.com/PonnamKarthik/FlutterToast
just_audio,https://pub.dev/packages/just_audio,3517,160,100,"A feature-rich audio player for Flutter. Loop, clip and concatenate any sound from any source (asset/file/URL/stream) in a variety of audio formats with gapless playback.",0.9.39,"Jul 10, 2024","Apache-2.0, MIT",,FLUTTER,"ANDROID, IOS, MACOS, WEB",https://pub.dev/documentation/just_audio/latest/,ryanheise.com,"async,audio_session,crypto,flutter,just_audio_platform_interface,just_audio_web,meta,path,path_provider,rxdart,uuid",https://github.com/ryanheise/just_audio/tree/minor/just_audio
firebase_messaging,https://pub.dev/packages/firebase_messaging,3510,150,100,"Flutter plugin for Firebase Cloud Messaging, a cross-platform messaging solution that lets you reliably deliver messages on Android and iOS.",15.0.4,"Jul 30, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, MACOS, WEB",https://pub.dev/documentation/firebase_messaging/latest/,firebase.google.com,"firebase_core,firebase_core_platform_interface,firebase_messaging_platform_interface,firebase_messaging_web,flutter,meta",https://github.com/firebase/flutterfire/tree/master/packages/firebase_messaging/firebase_messaging
firebase_core,https://pub.dev/packages/firebase_core,3484,150,100,"Flutter plugin for Firebase Core, enabling connecting to multiple Firebase apps.",3.3.0,"Jul 30, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, MACOS, WEB, WINDOWS",https://pub.dev/documentation/firebase_core/latest/,firebase.google.com,"firebase_core_platform_interface,firebase_core_web,flutter,meta",https://github.com/firebase/flutterfire/tree/master/packages/firebase_core/firebase_core
json_serializable,https://pub.dev/packages/json_serializable,3470,150,99,Automatically generate code for converting to and from JSON by annotating Dart classes.,6.8.0,"Apr 24, 2024",BSD-3-Clause,,DART,"LINUX, MACOS, WINDOWS",https://pub.dev/documentation/json_serializable/latest/,google.dev,"analyzer,async,build,build_config,collection,json_annotation,meta,path,pub_semver,pubspec_parse,source_gen,source_helper",https://github.com/google/json_serializable.dart/tree/master/json_serializable
cloud_firestore,https://pub.dev/packages/cloud_firestore,3427,150,100,"Flutter plugin for Cloud Firestore, a cloud-hosted, noSQL database with live synchronization and offline support on Android and iOS.",5.2.0,"Jul 30, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, MACOS, WEB, WINDOWS",https://pub.dev/documentation/cloud_firestore/latest/,firebase.google.com,"cloud_firestore_platform_interface,cloud_firestore_web,collection,firebase_core,firebase_core_platform_interface,flutter,meta",https://github.com/firebase/flutterfire/tree/master/packages/cloud_firestore/cloud_firestore
badges,https://pub.dev/packages/badges,3372,160,100,"A package for creating badges. Badges can be used for an additional marker for any widget, e.g. show a number of items in a shopping cart.",3.1.2,"Aug 28, 2023",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/badges/latest/,yako.io,flutter,https://github.com/yako-dev/flutter_badges
smooth_page_indicator,https://pub.dev/packages/smooth_page_indicator,3369,160,100,Customizable animated page indicator with a set of built-in effects.,1.2.0+3,"Jul 20, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/smooth_page_indicator/latest/,codeness.ly,flutter,https://github.com/Milad-Akarie/smooth_page_indicator
infinite_scroll_pagination,https://pub.dev/packages/infinite_scroll_pagination,3317,150,100,Lazily load and display pages of items as the user scrolls down your screen.,4.0.0,"Aug 14, 2023",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/infinite_scroll_pagination/latest/,edsonbueno.com,"flutter,flutter_staggered_grid_view,sliver_tools",https://github.com/EdsonBueno/infinite_scroll_pagination
riverpod,https://pub.dev/packages/riverpod,3308,160,98,A reactive caching and data-binding framework. Riverpod makes working with asynchronous code a breeze.,2.5.1,"Mar 10, 2024",MIT,3.0.0-dev.3,"DART, FLUTTER","ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/riverpod/latest/,dash-overflow.net,"collection,meta,stack_trace,state_notifier",https://github.com/rrousselGit/riverpod
connectivity_plus,https://pub.dev/packages/connectivity_plus,3274,160,100,Flutter plugin for discovering the state of the network (WiFi & mobile/cellular) connectivity on Android and iOS.,6.0.4,"Jul 29, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/connectivity_plus/latest/,fluttercommunity.dev,"collection,connectivity_plus_platform_interface,flutter,flutter_web_plugins,meta,nm,web",https://github.com/fluttercommunity/plus_plugins/tree/main/packages/connectivity_plus/connectivity_plus
modal_bottom_sheet,https://pub.dev/packages/modal_bottom_sheet,3242,150,99,"Create awesome and powerful modal bottom sheets. Material, Cupertino iOS 13 or create your own style",3.0.0,"Mar 12, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/modal_bottom_sheet/latest/,jaimeblasco.com,flutter,https://github.com/jamesblasco/modal_bottom_sheet
share_plus,https://pub.dev/packages/share_plus,3241,160,100,"Flutter plugin for sharing content via the platform share UI, using the ACTION_SEND intent on Android and UIActivityViewController on iOS.",10.0.0,"Jul 29, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/share_plus/latest/,fluttercommunity.dev,"cross_file,ffi,file,flutter,flutter_web_plugins,meta,mime,share_plus_platform_interface,url_launcher_linux,url_launcher_platform_interface,url_launcher_web,url_launcher_windows,web,win32",https://github.com/fluttercommunity/plus_plugins/tree/main/packages/share_plus/share_plus
flutter_animate,https://pub.dev/packages/flutter_animate,3177,160,100,"Add beautiful animated effects & builders in Flutter, via an easy, customizable, unified API.",4.5.0,"Jan 31, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/flutter_animate/latest/,gskinner.com,"flutter,flutter_shaders",https://github.com/gskinner/flutter_animate
syncfusion_flutter_charts,https://pub.dev/packages/syncfusion_flutter_charts,3169,150,100,"A Flutter Charts library which includes data visualization widgets such as cartesian and circular charts, to create real-time, interactive, high-performance, animated charts.",26.2.7,"Jul 30, 2024",unknown,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/syncfusion_flutter_charts/latest/,syncfusion.com,"flutter,intl,syncfusion_flutter_core,vector_math",https://github.com/syncfusion/flutter-widgets/tree/master/packages/syncfusion_flutter_charts
video_player,https://pub.dev/packages/video_player,3166,150,100,"Flutter plugin for displaying inline video with other Flutter widgets on Android, iOS, and web.",2.9.1,"Jun 29, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, MACOS, WEB",https://pub.dev/documentation/video_player/latest/,flutter.dev,"flutter,html,video_player_android,video_player_avfoundation,video_player_platform_interface,video_player_web",https://github.com/flutter/packages/tree/main/packages/video_player/video_player
logger,https://pub.dev/packages/logger,3108,160,100,"Small, easy to use and extensible logger which prints beautiful logs.",2.4.0,"Jul 15, 2024",MIT,,"DART, FLUTTER","ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/logger/latest/,unverified uploader,,https://github.com/SourceHorizon/logger
easy_localization,https://pub.dev/packages/easy_localization,3097,150,100,"Easy and Fast internationalizing and localization your Flutter Apps, this package simplify the internationalizing process .",3.0.7,"May 12, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/easy_localization/latest/,unverified uploader,"args,easy_logger,flutter,flutter_localizations,intl,path,shared_preferences",https://github.com/aissat/easy_localization
equatable,https://pub.dev/packages/equatable,3077,160,100,A Dart package that helps to implement value based equality without needing to explicitly override == and hashCode.,2.0.5,"Aug 19, 2022",MIT,,"DART, FLUTTER","ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS","https://github.com/felangel/equatable,https://pub.dev/documentation/equatable/latest/",fluttercommunity.dev,"collection,meta",https://github.com/felangel/equatable
google_sign_in,https://pub.dev/packages/google_sign_in,3033,160,100,"Flutter plugin for Google Sign-In, a secure authentication system for signing in with a Google account.",6.2.1,"Dec 13, 2023",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, MACOS, WEB",https://pub.dev/documentation/google_sign_in/latest/,flutter.dev,"flutter,google_sign_in_android,google_sign_in_ios,google_sign_in_platform_interface,google_sign_in_web",https://github.com/flutter/packages/tree/main/packages/google_sign_in/google_sign_in
awesome_notifications,https://pub.dev/packages/awesome_notifications,3029,160,99,"A complete solution to create Local and Push Notifications, customizing buttons, images, sounds, emoticons and applying many different layouts for Flutter apps.",0.9.3+1,"Mar 17, 2024",Apache-2.0,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/awesome_notifications/latest/,carda.me,"flutter,flutter_web_plugins,intl,plugin_platform_interface",https://github.com/rafaelsetragni/awesome_notifications
audioplayers,https://pub.dev/packages/audioplayers,2951,160,100,A Flutter plugin to play multiple audio files simultaneously,6.0.0,"Mar 19, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/audioplayers/latest/,blue-fire.xyz,"audioplayers_android,audioplayers_darwin,audioplayers_linux,audioplayers_platform_interface,audioplayers_web,audioplayers_windows,file,flutter,http,meta,path_provider,synchronized,uuid",https://github.com/bluefireteam/audioplayers/tree/master/packages/audioplayers
